subject,true_letter,pred_letter,correct,response_chars,response_words,has_repetition,has_stop_marker
abstract_algebra,B,B,1,978,158,0,1
abstract_algebra,C,A,0,1890,388,0,0
abstract_algebra,D,D,1,376,69,0,1
abstract_algebra,B,D,0,657,107,0,1
abstract_algebra,B,A,0,1334,249,0,1
abstract_algebra,A,,0,1584,283,0,0
abstract_algebra,A,A,1,77,14,0,1
abstract_algebra,D,A,0,65,11,0,1
abstract_algebra,B,B,1,897,138,0,1
abstract_algebra,C,B,0,1841,351,0,0
abstract_algebra,C,,0,69,11,0,1
abstract_algebra,C,D,0,482,83,0,1
abstract_algebra,A,C,0,290,54,0,1
abstract_algebra,C,B,0,284,57,0,1
abstract_algebra,C,D,0,1044,179,0,1
abstract_algebra,B,A,0,69,14,0,1
abstract_algebra,C,A,0,937,286,0,0
abstract_algebra,C,A,0,575,41,1,0
abstract_algebra,D,D,1,72,12,0,1
abstract_algebra,A,A,1,859,133,0,0
abstract_algebra,A,C,0,445,79,0,1
abstract_algebra,A,A,1,264,62,1,1
abstract_algebra,D,D,1,452,77,0,1
abstract_algebra,D,A,0,585,87,0,1
abstract_algebra,B,A,0,86,15,0,1
abstract_algebra,C,A,0,2417,401,0,0
abstract_algebra,C,,0,63,13,0,1
abstract_algebra,B,,0,69,12,0,1
abstract_algebra,D,A,0,371,61,0,1
abstract_algebra,A,A,1,357,55,0,1
abstract_algebra,B,D,0,322,58,0,1
abstract_algebra,B,A,0,655,97,0,1
abstract_algebra,A,A,1,77,13,0,1
abstract_algebra,C,,0,64,10,0,1
abstract_algebra,A,,0,54,10,0,1
abstract_algebra,B,B,1,454,73,0,1
abstract_algebra,D,A,0,1349,311,0,0
abstract_algebra,B,D,0,371,70,0,1
abstract_algebra,C,A,0,814,175,1,0
abstract_algebra,D,B,0,310,49,0,1
abstract_algebra,C,C,1,507,99,0,1
abstract_algebra,A,B,0,303,56,0,1
abstract_algebra,B,D,0,532,89,0,1
abstract_algebra,C,,0,81,13,0,1
abstract_algebra,C,A,0,676,128,0,1
abstract_algebra,C,B,0,383,58,0,1
abstract_algebra,B,C,0,497,80,0,1
abstract_algebra,B,C,0,54,12,0,1
abstract_algebra,C,A,0,56,10,0,1
abstract_algebra,B,B,1,420,85,0,1
abstract_algebra,D,,0,70,12,0,1
abstract_algebra,B,A,0,864,171,0,1
abstract_algebra,A,A,1,2034,398,0,0
abstract_algebra,C,,0,60,13,0,1
abstract_algebra,B,B,1,423,78,0,1
abstract_algebra,A,A,1,502,84,0,1
abstract_algebra,D,A,0,361,66,0,1
abstract_algebra,B,A,0,705,132,0,1
abstract_algebra,A,A,1,2562,392,0,0
abstract_algebra,A,A,1,1043,168,0,1
abstract_algebra,D,D,1,472,77,0,1
abstract_algebra,D,A,0,539,80,0,1
abstract_algebra,C,,0,81,12,0,1
abstract_algebra,B,D,0,765,129,0,1
abstract_algebra,B,B,1,733,125,0,1
abstract_algebra,C,A,0,2325,373,0,0
abstract_algebra,D,,0,67,14,0,1
abstract_algebra,C,D,0,970,173,0,1
abstract_algebra,A,C,0,1092,209,0,1
abstract_algebra,A,A,1,480,78,0,1
abstract_algebra,D,C,0,948,172,0,1
abstract_algebra,C,,0,48,6,0,1
abstract_algebra,D,A,0,625,39,0,0
abstract_algebra,B,B,1,377,68,0,1
abstract_algebra,D,,0,79,14,0,1
abstract_algebra,B,,0,74,14,0,1
abstract_algebra,C,,0,60,13,0,1
abstract_algebra,A,A,1,506,95,0,1
abstract_algebra,D,C,0,380,71,0,1
abstract_algebra,C,C,1,581,96,0,1
abstract_algebra,B,,0,89,15,0,1
abstract_algebra,D,A,0,448,75,0,1
abstract_algebra,A,A,1,421,68,0,1
abstract_algebra,C,A,0,68,14,0,1
abstract_algebra,D,B,0,547,93,0,1
abstract_algebra,C,A,0,467,80,0,1
abstract_algebra,A,A,1,374,60,0,1
abstract_algebra,A,A,1,350,62,0,1
abstract_algebra,A,,0,1004,168,0,0
abstract_algebra,C,A,0,57,10,0,1
abstract_algebra,D,C,0,1525,243,0,1
abstract_algebra,B,C,0,523,87,0,1
abstract_algebra,B,D,0,915,156,0,1
abstract_algebra,A,,0,1146,176,1,0
abstract_algebra,D,A,0,414,67,0,1
abstract_algebra,C,C,1,313,61,0,1
abstract_algebra,B,B,1,320,73,0,1
abstract_algebra,C,C,1,261,58,0,1
abstract_algebra,C,A,0,1658,317,0,0
abstract_algebra,C,A,0,71,14,0,1
college_computer_science,A,A,1,395,57,0,1
college_computer_science,C,A,0,527,86,0,1
college_computer_science,B,,0,777,181,0,0
college_computer_science,A,A,1,604,116,0,1
college_computer_science,C,C,1,42,9,0,1
college_computer_science,C,D,0,562,100,0,1
college_computer_science,C,C,1,75,12,0,1
college_computer_science,B,A,0,2575,394,0,0
college_computer_science,C,B,0,2186,320,0,0
college_computer_science,C,C,1,326,55,0,1
college_computer_science,D,D,1,881,141,0,1
college_computer_science,A,A,1,544,109,0,1
college_computer_science,A,A,1,745,160,0,1
college_computer_science,C,C,1,2447,330,0,0
college_computer_science,A,A,1,2116,328,0,0
college_computer_science,D,D,1,69,13,0,1
college_computer_science,D,D,1,440,66,0,1
college_computer_science,B,A,0,804,135,0,1
college_computer_science,A,A,1,560,75,0,1
college_computer_science,D,D,1,67,12,0,1
college_computer_science,D,D,1,387,71,0,1
college_computer_science,B,C,0,170,25,0,1
college_computer_science,A,A,1,467,78,0,1
college_computer_science,A,B,0,540,98,0,1
college_computer_science,A,D,0,66,10,0,1
college_computer_science,D,D,1,65,11,0,1
college_computer_science,C,A,0,2228,363,0,0
college_computer_science,D,D,1,66,10,0,1
college_computer_science,D,B,0,66,11,0,1
college_computer_science,C,C,1,1581,253,0,1
college_computer_science,C,A,0,1489,267,0,0
college_computer_science,D,A,0,92,14,0,1
college_computer_science,D,D,1,352,57,0,1
college_computer_science,A,A,1,72,12,0,1
college_computer_science,B,B,1,411,62,0,1
college_computer_science,C,C,1,421,71,0,1
college_computer_science,C,C,1,62,11,0,1
college_computer_science,D,C,0,567,108,0,1
college_computer_science,D,,0,73,14,0,1
college_computer_science,B,B,1,158,24,0,1
college_computer_science,A,A,1,376,59,0,1
college_computer_science,D,D,1,421,60,0,1
college_computer_science,A,D,0,863,142,0,1
college_computer_science,D,A,0,88,14,0,1
college_computer_science,D,D,1,952,166,0,1
college_computer_science,C,A,0,2832,370,0,0
college_computer_science,D,D,1,2575,384,0,0
college_computer_science,A,A,1,77,12,0,1
college_computer_science,A,,0,83,15,0,1
college_computer_science,D,,0,86,14,0,1
college_computer_science,D,D,1,434,69,0,1
college_computer_science,B,D,0,665,91,0,1
college_computer_science,C,B,0,628,106,0,1
college_computer_science,C,C,1,643,103,0,1
college_computer_science,A,A,1,240,40,0,1
college_computer_science,C,C,1,638,105,0,1
college_computer_science,D,A,0,918,156,0,1
college_computer_science,D,D,1,76,12,0,1
college_computer_science,B,B,1,472,72,0,1
college_computer_science,D,A,0,2240,356,0,0
college_computer_science,D,A,0,605,99,0,1
college_computer_science,B,B,1,443,71,0,1
college_computer_science,D,D,1,380,62,0,1
college_computer_science,A,A,1,323,49,0,1
college_computer_science,A,,0,75,14,0,1
college_computer_science,C,D,0,419,75,0,1
college_computer_science,A,A,1,2386,342,0,0
college_computer_science,B,C,0,72,11,0,1
college_computer_science,B,,0,83,14,0,1
college_computer_science,A,B,0,652,101,0,1
college_computer_science,D,C,0,1117,172,0,1
college_computer_science,A,A,1,2009,312,0,0
college_computer_science,D,C,0,528,83,0,1
college_computer_science,C,,0,62,11,0,1
college_computer_science,D,A,0,88,16,0,1
college_computer_science,C,A,0,413,64,0,1
college_computer_science,A,A,1,401,66,0,1
college_computer_science,B,,0,1017,177,0,0
college_computer_science,C,A,0,440,62,0,1
college_computer_science,D,,0,83,14,0,1
college_computer_science,B,D,0,647,106,0,1
college_computer_science,C,C,1,567,76,0,1
college_computer_science,D,D,1,388,63,0,1
college_computer_science,A,A,1,558,84,0,1
college_computer_science,D,D,1,463,73,0,1
college_computer_science,D,A,0,75,14,0,1
college_computer_science,A,A,1,416,68,0,1
college_computer_science,B,C,0,889,133,0,1
college_computer_science,C,C,1,583,98,0,1
college_computer_science,A,A,1,1584,292,0,0
