subject,true_letter,pred_letter,correct,response_chars,response_words,has_repetition,has_stop_marker
abstract_algebra,B,B,1,336,53,0,0
abstract_algebra,C,A,0,1649,331,0,0
abstract_algebra,D,D,1,743,197,0,0
abstract_algebra,B,D,0,272,54,0,0
abstract_algebra,B,B,1,517,113,0,0
abstract_algebra,A,B,0,479,88,0,0
abstract_algebra,A,A,1,244,41,0,0
abstract_algebra,D,,0,1,0,0,0
abstract_algebra,B,B,1,347,65,0,0
abstract_algebra,C,C,1,303,66,0,0
abstract_algebra,C,C,1,321,52,0,0
abstract_algebra,C,B,0,563,109,0,0
abstract_algebra,A,A,1,1638,291,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,C,C,1,892,155,1,0
abstract_algebra,B,,0,1,0,0,0
abstract_algebra,C,C,1,296,67,0,0
abstract_algebra,C,C,1,187,37,0,0
abstract_algebra,D,D,1,372,69,0,0
abstract_algebra,A,A,1,366,68,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,A,A,1,324,74,0,0
abstract_algebra,D,D,1,314,55,0,0
abstract_algebra,D,D,1,464,82,0,0
abstract_algebra,B,,0,1,0,0,0
abstract_algebra,C,C,1,470,68,0,0
abstract_algebra,C,C,1,377,71,0,0
abstract_algebra,B,B,1,537,96,0,0
abstract_algebra,D,D,1,521,89,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,B,,0,1,0,0,0
abstract_algebra,B,D,0,297,49,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,C,C,1,342,62,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,B,B,1,466,86,0,0
abstract_algebra,D,D,1,260,57,0,0
abstract_algebra,B,D,0,370,65,0,0
abstract_algebra,C,B,0,345,63,0,0
abstract_algebra,D,D,1,373,61,0,0
abstract_algebra,C,C,1,269,63,0,0
abstract_algebra,A,B,0,446,78,0,0
abstract_algebra,B,D,0,369,68,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,C,C,1,415,75,0,0
abstract_algebra,C,B,0,255,43,0,0
abstract_algebra,B,C,0,511,87,0,0
abstract_algebra,B,A,0,598,132,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,B,B,1,665,143,0,0
abstract_algebra,D,D,1,401,63,0,0
abstract_algebra,B,B,1,839,194,0,0
abstract_algebra,A,D,0,714,128,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,B,B,1,384,70,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,D,,0,1,0,0,0
abstract_algebra,B,B,1,744,160,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,A,,0,1,0,0,0
abstract_algebra,D,D,1,364,62,0,0
abstract_algebra,D,D,1,440,78,0,0
abstract_algebra,C,,0,1,0,0,0
abstract_algebra,B,A,0,1037,205,0,0
abstract_algebra,B,B,1,336,62,0,0
abstract_algebra,C,C,1,324,50,0,0
abstract_algebra,D,C,0,330,60,0,0
abstract_algebra,C,A,0,160,29,0,0
abstract_algebra,A,,0,1,0,0,0
